station,lines,2011,2012,2013,2014,2015,2016
5 Av-53 St,E M,6519696,6744422,7298061,7543062,7597212,7240517
5 Av-59 St,N W R,5893657,5941836,5927685,6155019,6017047,5929715
50 St,1,7647852,7927578,8074270,8450496,8266677,8157242
50 St,C E,5573587,5714183,6259935,6867521,6826275,6778797
57 St,F,4630781,4408190,4520733,4603639,4720245,4821309
57 St-7 Av,N Q R W,8613792,8726980,8945751,9314649,9512090,9616547
59    St-Columbus Circle,A B C D 1,21300892,21599586,22774421,23566961,23299666,23203443
66 St-Lincoln    Center,1,7089390,7367599,7527781,7772308,7790234,7606975
68 St-Hunter    College,6,10481234,10373302,10520477,10545971,10237854,10124694
7 Av,B D E,4297779,4384090,4744808,5092341,5252615,5162589
72 St,1 2 3,12784301,13043031,13456906,13375012,13341361,13257766
72 St,B C,2787379,2832934,2942517,3015722,2979236,2921892
77 St,6,11163007,11109431,11167386,11454604,11014861,10927200
79 St,1,5330857,5292422,5438078,5601595,5534255,5371624
8 St-New York    University,W R,5779126,5663358,5379647,5635598,5894747,6030544
81 St-Museum    of Natural History,B C,4116976,4232404,4477625,4561347,4584041,4517912
86 St,1,6128225,6219513,6333352,6519979,6464625,6359252
86 St,4 5 6,19425347,19686985,20528208,20735032,20890828,20337593
86 St,B C,3238616,3300644,3408922,3515551,3474343,3478317
96 St,1 2 3,11784341,12108040,12582947,13108304,13008596,12700397
96 St,6,7753114,7708346,7785646,7958453,8294978,8004488
96 St,B C,2775904,2829949,2979535,3089701,3084906,3044779
Astor Place,6,5571077,5535996,5775276,5751688,5447655,5271496
Bowery,J Z,991686,968629,970576,1057000,1184920,1223959
Bowling Green,4 5,7793614,7990789,9081649,10261064,9153462,8870811
Broad St,J Z,1473717,1315012,1436506,1662905,1834780,2064292
Broadway-Lafayette    St    /Bleecker St,B D F M 6,11651990,11792114,12560629,12913327,12666868,12405639
Brooklyn    Bridge-City Hall   /Chambers St,4 5 6 J Z,10681037,10650508,10721984,10938927,10481576,10059080
Canal St,1,1785923,1727415,1787110,1859071,1830920,1801063
Canal St,A C E,5646937,5612068,5922371,6013138,6011243,5753945
Canal St,J N Q R W Z 6,15577018,15529659,15227139,15104077,15094135,15274896
Cathedral    Pkwy-110 St,1,4440822,4491643,4557743,4301285,4280482,4160302
Cathedral    Pkwy-110 St,B C,2166542,2207790,2301545,2351549,2376166,2354421
Central Park    North-110 St,2 3,2724841,2808386,2932790,3110140,3188551,3147750
Chambers St,1 2 3,6554728,6603287,6755281,6973674,7054771,6948976
Chambers St     /WTC /Park Place,A C E 2 3,15458781,15364366,15641210,16088983,16910084,16079624
Christopher    St-Sheridan Sq,1,3471186,3435088,3433544,3480159,3363949,3307136
City Hall,R W,2627822,2094122,1560414,1151646,1828806,1977733
Cortlandt St,1,0,0,0,0,0,0
Cortlandt St,R W,1640638,2062289,1601732,1500040,2713532,4270036
Delancey St    /Essex St,F J M Z,7172867,7280936,7759914,7909365,8226975,8458101
Dyckman St,1,1212678,1231954,2094538,2298848,2317843,2410021
Dyckman St,A,2326780,2344316,2112706,2158170,2244154,2135271
East Broadway,F,4057707,4021679,4208654,4379909,4576662,4752739
Franklin St,1,1777323,1714218,1703889,1745841,1731354,1782203
Fulton St,A C J Z 2 3 4 5,17971983,17868334,18721694,20102397,21671684,25162937
Grand    Central-42 St,S 4 5 6 7,42795505,42984249,44893301,46074652,46737564,46121509
Grand St,B D,7770139,7658249,7994060,8131543,8010864,7942505
Harlem-148 St,3,1101666,1110842,1171372,1209633,1269910,1220407
Houston St,1,4225089,4287926,4510538,4562690,4377409,4375993
Inwood-207 St,A,3079573,2795992,2897438,2981271,3068931,2904915
Lexington Av    /59 St,N W R 4 5 6,20377141,20628942,21282767,21557198,21407792,21000635
Lexington    Av-53 St  /51 St,E M 6,18948032,19280036,20262110,20513370,20479923,19929405
Lexington    Av-63 St,F,4722939,4566850,4462467,4479963,4718159,5033950
Marble    Hill-225 St,1,1476489,1721707,1725406,1846582,1809998,1777035
Prince St,W R,5603783,5508110,5209433,5311765,5386641,5314922
Rector St,1,2636681,3055453,3398383,3393420,3042815,2805381
Rector St,R W,2413512,2053706,1524110,1116833,1896968,2038348
Roosevelt    Island,F,2114468,2026567,1948925,1870476,1966493,2110471
South Ferry    /Whitehall St,1 R W,9073709,8123655,6192660,7116897,8750364,9009136
Spring St,6,3887184,3999949,4123703,4169799,3804403,3792870
Spring St,C E,3589809,3718956,3874428,3965206,3782314,3744702
Times Sq-42    St        /42 St,N Q R W S 1 2 3 7 A C E,60604822,62069437,63617614,65948730,66359208,64531511
Wall St,2 3,7016078,7034940,7473489,7845023,7650853,7689447
Wall St,4 5,6526692,6658687,7231884,7437325,6708745,6148384
West 4    St-Washington Sq,A B C D E F M,12506322,12727443,13533369,13942101,14147148,13955067
103 St-Corona Plaza,7,6095306,6130376,6314870,6464627,6527196,6504644
